Customer ID,Gender,Age,Income,Spending,Category
CUST0001,Male,34,115756,7729,Home Appliances
CUST0002,Female,26,80461,8425,Furniture
CUST0003,Male,50,95418,3238,Furniture
CUST0004,Male,37,86672,7793,Furniture
CUST0005,Male,30,148232,8364,Accessories
CUST0006,Female,45,54832,7942,Furniture
CUST0007,Male,65,147335,6821,Home Appliances
CUST0008,Male,46,51966,7102,Home Appliances
CUST0009,Male,30,92545,4325,Accessories
CUST0010,Female,63,32987,3078,Accessories
CUST0011,Male,52,57311,7473,Furniture
CUST0012,Male,23,51575,6007,Automotive
CUST0013,Male,35,83852,6197,Accessories
CUST0014,Male,22,147650,5756,Electronics
CUST0015,Female,64,21007,9084,Home Appliances
CUST0016,Male,42,90981,4359,Electronics
CUST0017,Female,19,96242,8386,Home Appliances
CUST0018,Female,27,67517,6001,Home Appliances
CUST0019,Female,47,130022,9425,Accessories
CUST0020,Male,62,49257,5017,Accessories
CUST0021,Female,22,107272,8529,Electronics
CUST0022,Male,50,62207,2630,Home Appliances
CUST0023,Female,18,33281,2060,Electronics
CUST0024,Female,35,81246,7145,Automotive
CUST0025,Female,49,21435,1148,Electronics
CUST0026,Female,64,118875,5872,Furniture
CUST0027,Female,28,120686,2629,Electronics
CUST0028,Female,38,111357,3064,Furniture
CUST0029,Female,43,46660,7237,Furniture
CUST0030,Female,42,25084,1063,Furniture
CUST0031,Male,39,102197,636,Automotive
CUST0032,Male,44,33507,7440,Electronics
CUST0033,Female,30,92595,7279,Electronics
CUST0034,Female,50,103807,8067,Automotive
CUST0035,Female,51,65539,8834,Home Appliances
CUST0036,Male,58,135953,945,Accessories
CUST0037,Female,52,27491,5877,Electronics
CUST0038,Male,18,147706,3136,Accessories
CUST0039,Male,38,132831,6047,Automotive
CUST0040,Male,65,70192,2594,Home Appliances
CUST0041,Male,23,100395,2819,Home Appliances
CUST0042,Male,45,143797,1984,Home Appliances
CUST0043,Female,34,83888,4449,Automotive
CUST0044,Female,22,93609,5279,Furniture
CUST0045,Female,48,29077,6710,Furniture
CUST0046,Female,22,137440,6530,Accessories
CUST0047,Female,55,142901,7254,Furniture
CUST0048,Male,20,40953,6588,Furniture
CUST0049,Female,40,96919,4837,Home Appliances
CUST0050,Female,54,134682,6625,Home Appliances
CUST0051,Male,54,141041,3950,Accessories
CUST0052,Female,27,87889,789,Electronics
CUST0053,Male,27,43821,5275,Accessories
CUST0054,Female,36,57567,8748,Accessories
CUST0055,Male,34,135374,5178,Automotive
CUST0056,Female,38,44860,5548,Automotive
CUST0057,Female,31,41195,1279,Accessories
CUST0058,Male,26,97475,9174,Accessories
CUST0059,Male,63,110874,6506,Accessories
CUST0060,Male,18,107266,8691,Furniture
CUST0061,Male,62,41427,7007,Automotive
CUST0062,Male,30,120732,8900,Accessories
CUST0063,Male,21,47083,1738,Home Appliances
CUST0064,Male,18,107046,5771,Home Appliances
CUST0065,Male,57,77372,7028,Furniture
CUST0066,Female,49,143786,1482,Furniture
CUST0067,Female,51,64064,1503,Electronics
CUST0068,Male,45,27813,9111,Electronics
CUST0069,Female,48,51598,3392,Electronics
CUST0070,Female,25,132718,9111,Furniture
CUST0071,Female,56,146879,519,Furniture
CUST0072,Female,43,113106,4617,Furniture
CUST0073,Male,51,47082,3402,Home Appliances
CUST0074,Female,20,49241,7957,Furniture
CUST0075,Male,29,116214,9800,Home Appliances
CUST0076,Female,18,64569,7970,Electronics
CUST0077,Female,61,31745,5793,Electronics
CUST0078,Female,22,46029,867,Electronics
CUST0079,Male,47,33025,2144,Accessories
CUST0080,Female,47,121660,1649,Accessories
CUST0081,Male,34,143395,6240,Automotive
CUST0082,Female,65,34288,3816,Automotive
CUST0083,Male,64,109186,4581,Automotive
CUST0084,Female,40,26540,7998,Accessories
CUST0085,Male,32,117768,6648,Accessories
CUST0086,Male,54,101958,2393,Automotive
CUST0087,Female,38,88878,4937,Automotive
CUST0088,Male,31,61846,7858,Furniture
CUST0089,Female,19,121148,6893,Automotive
